"Adams, NY",43.8092321,-76.0240892,2542,5
"Akron, NY",43.0208924,-78.4953015,2982,5
"Albany, NY",42.6525793,-73.7562317,594962,1
"Albion, NY",43.2464477,-78.1936319,8171,5
"Alfred, NY",42.2542366,-77.7905509,4322,5
"Amsterdam, NY",42.9377453,-74.190356,22262,4
"Arcade, NY",42.5339513,-78.4230737,3048,5
"Attica, NY",42.8642267,-78.2802946,6828,5
"Auburn, NY",42.9317335,-76.5660529,32274,3
"Avon, NY",42.9120072,-77.7455583,4973,5
"Batavia, NY",42.9981156,-78.1875167,17834,4
"Bath, NY",42.3370164,-77.3177577,7124,5
"Bedford, NY",41.204262,-73.6437397,2679,5
"Binghamton, NY",42.0986867,-75.9179738,158084,2
"Bradford, PA",41.9564953,-78.649163,12083,4
"Brockport, NY",43.2136713,-77.9391797,20255,4
"Buffalo, NY",42.8864468,-78.8783689,935906,1
"Canandaigua, NY",42.887535,-77.2816984,21403,4
"Canton, NY",44.5956163,-75.1690942,6489,5
"Carthage, NY",43.9781236,-75.6093591,5335,5
"Catskill, NY",42.2173102,-73.8645734,6453,5
"Cazenovia, NY",42.9300668,-75.8526915,3114,5
"Cheektowaga, NY",42.8896468,-78.8281956,87018,3
"Chester, NY",41.3625937,-74.2712613,5691,5
"Chittenango, NY",43.0450671,-75.86658,5083,5
"Churchville, NY",43.1042277,-77.8844543,3134,5
"Clifton Springs, NY",42.9617304,-77.1399756,6444,5
"Cobleskill, NY",42.677853,-74.4854172,5618,5
"Cold Spring, NY",41.4200937,-73.954583,3276,5
"Conesus Lake, NY",42.7853077,-77.7137306,4858,5
"Corinth, NY",43.2445168,-73.8323446,3995,5
"Corning, NY",42.1428521,-77.0546903,20477,4
"Cortland, NY",42.6011813,-76.1804843,27493,3
"Coxsackie, NY",42.3509179,-73.8029028,6341,5
"Dansville, NY",42.5608999,-77.696106,5141,5
"Delhi, NY",42.2781401,-74.9159946,2953,5
"Dryden, NY",42.4909053,-76.2971553,3882,5
"Dunkirk, NY",42.4795019,-79.3339324,25514,3
"East Aurora, NY",42.7678376,-78.6133589,9841,5
"East Stroudsburg, PA",41.0030522,-75.1817547,54316,3
"Ellenville, NY",41.7170379,-74.3957099,6577,5
"Elmira, NY",42.0897965,-76.8077338,67983,3
"Endicott, NY",42.0952266,-76.1061024,12645,4
"Erie, PA",42.1153632,-80.1409874,196611,2
"Fort Plain, NY",42.9314616,-74.6226425,5730,5
"Geneseo, NY",42.795896,-77.816947,8329,4
"Geneva, NY",42.8679836,-76.985557,29990,3
"Glens Falls, NY",43.3095164,-73.6440058,65443,3
"Gloversville, NY",43.0528506,-74.3437467,29226,3
"Goshen, NY",41.4020382,-74.3243191,15183,4
"Gouverneur, NY",44.3367281,-75.462993,4146,5
"Gowanda, NY",42.4631167,-78.935868,6323,5
"Granville, NY",43.4078495,-73.259553,2762,5
"Greenwich, NY",43.1374547,-73.4887288,2551,5
"Hamilton, NY",42.8270136,-75.5446238,4427,5
"Honeoye Falls, NY",42.9522855,-77.5902759,5270,5
"Hoosick Falls, NY",42.9011892,-73.3515001,3592,5
"Hornell, NY",42.3278477,-77.6611025,10997,4
"Hudson, NY",42.2528649,-73.790959,11512,4
"Ilion, NY",43.0150703,-75.0354347,24792,4
"Ithaca, NY",42.4439614,-76.5018807,53661,2
"Jamestown, NY",42.0970023,-79.2353259,43404,3
"Kingston, NY",41.9270367,-73.9973608,57442,3
"Lake Placid, NY",44.2794911,-73.9798713,3581,5
"Le Roy, NY",42.9783944,-77.9841776,4275,5
"Liberty, NY",41.8227992,-74.7571147,4470,5
"Little Falls, NY",43.0434039,-74.8595957,4956,5
"Lockport, NY",43.1706128,-78.6903098,36024,3
"Lowville, NY",43.786736,-75.4918505,3562,5
"Malone, NY",44.8486596,-74.2948983,10825,4
"Massena, NY",44.9281049,-74.891865,11259,4
"Maybrook, NY",41.4839827,-74.2176487,2959,5
"Mechanicville, NY",42.9028547,-73.6873405,9975,4
"Medina, NY",43.2200583,-78.3869685,8382,5
"Middletown, NY",41.4459271,-74.4229341,58381,3
"Montauk, NY",41.0359353,-71.9545146,2719,5
"Monticello, NY",41.6556465,-74.6893282,7868,5
"Moravia, NY",42.7125702,-76.4216025,2975,5
"Mount Morris, NY",42.7256184,-77.8741694,4028,5
"New Paltz, NY",41.7475933,-74.0868095,10751,4
"New York, NY",40.7127753,-74.0059728,18351295,1
"Newark, NJ",40.735657,-74.1723667,282090,1
"Newark, NY",43.0467301,-77.0952516,13799,4
"Newburgh, NY",41.5034271,-74.0104178,28164,3
"Newfane, NY",43.2692505,-78.7022678,5626,5
"Niagara Falls, NY",43.0962143,-79.0377388,48144,2
"Norwich, NY",42.531184,-75.5235149,8265,5
"Ogdensburg, NY",44.6942291,-75.4863364,11344,4
"Olean, NY",42.083639,-78.429927,22324,4
"Oneida, NY",43.0925684,-75.6512931,21784,4
"Oneonta, NY",42.4528571,-75.0637746,17229,4
"Oswego, NY",43.4553461,-76.5104973,39385,3
"Otisville, NY",41.4734268,-74.5384933,4207,5
"Owego, NY",42.1034075,-76.2621549,5071,5
"Palmyra, NY",43.0639521,-77.2333154,5214,5
"Penn Yan, NY",42.6609026,-77.0538577,6777,5
"Perry, NY",42.7156175,-78.0055618,3688,5
"Plattsburgh, NY",44.6994873,-73.4529124,29438,3
"Port Jervis, NY",41.3750937,-74.692663,16787,4
"Potsdam, NY",44.6697805,-74.9813084,9310,4
"Poughkeepsie, NY",41.7003713,-73.9209701,423566,1
"Ravena, NY",42.4684148,-73.8162354,5358,5
"Red Hook, NY",41.9950919,-73.8754114,6661,5
"Rhinebeck, NY",41.9318294,-73.9074372,3032,5
"Rochester, NY",43.1565779,-77.6088465,720572,1
"Rome, NY",43.2128473,-75.4557303,33428,3
"Salamanca, NY",42.1578412,-78.7150311,5738,5
"Saranac Lake, NY",44.329496,-74.1312662,7698,5
"Saratoga Springs, NY",43.0831301,-73.7845651,64100,3
"Sayre, PA",41.9789631,-76.515499,17991,4
"Schenectady, NY",42.8142432,-73.9395687,65575,2
"Scranton, PA",41.408969,-75.6624122,381502,2
"Seneca Falls, NY",42.9106219,-76.7966215,8846,4
"Sidney, NY",42.3148024,-75.3915665,5565,5
"Silver Creek, NY",42.5442251,-79.1667066,3799,5
"Skaneateles, NY",42.947011,-76.4291017,3524,5
"Sodus, NY",43.2236974,-77.0334179,2865,5
"South Fallsburg, NY",41.7206468,-74.634327,3388,5
"Southold, NY",41.0801973,-72.4731529,9810,5
"Springs, NY",41.0162112,-72.1592444,12604,4
"Springville, NY",42.5083952,-78.6672482,3897,5
"Sylvan Beach, NY",43.1964576,-75.730463,3451,5
"Syracuse, NY",43.0481221,-76.1474244,412317,1
"Ticonderoga, NY",43.8486707,-73.4234531,2850,5
"Tonawanda, NY",42.989131,-78.8722341,100000,2
"Troy, NY",42.7284117,-73.6917851,49374,2
"Tupper Lake, NY",44.2239488,-74.4640575,4204,5
"Utica, NY",43.100903,-75.232664,117328,2
"Valatie, NY",42.4134168,-73.6731749,5336,5
"Walden, NY",41.5612048,-74.1884806,11565,4
"Walton, NY",42.1695296,-75.1293351,3067,5
"Walworth, NY",43.1390165,-77.2724329,3089,5
"Warrensburg, NY",43.4967351,-73.7762313,2648,5
"Warsaw, NY",42.740061,-78.1327881,3017,5
"Warwick, NY",41.256483,-74.3598755,12080,4
"Watchtower, NY",41.6359037,-74.2622152,3936,5
"Watertown, NY",43.9747838,-75.9107565,57840,3
"Watkins Glen, NY",42.3806287,-76.8732921,3457,5
"Weedsport, NY",43.048677,-76.5627197,3112,5
"Wellsville, NY",42.1220124,-77.9480575,6084,5
"West Point, NY",41.3914827,-73.9559721,12141,4
"Westfield, NY",42.32228,-79.5781027,3015,5
"White Plains, NY",41.0339862,-73.7629097,58111,3
"Wurtsboro, NY",41.5767602,-74.4871031,4179,5
"Yonkers, NY",40.9312099,-73.8987469,199663,2
